course_code,title,credits,attrs,multi_category
AMST 100Y,Introduction to American Studies,3.0,US,False
AMST 103,American Masculinities,3.0,GH;US,True
AMST 104,Women and the American Experience,3.0,GH;US,True
AMST 105,American Popular Culture and Folklife,3.0,GH;US,True
AMST 106,The Mass Media and Society,3.0,GH;GS;US,True
AMST 127,Introduction to U.S. Latina/o History,3.0,GH;US,True
AMST 134,American Comedy,3.0,GH;US,True
AMST 135,Alternative Voices in American Literature,3.0,GH;US,True
AMST 140Y,Religion in American Life and Thought,3.0,GH;US,True
AMST 149,History of the CIA,3.0,GH;IL;US,True
AMST 150,America in the 1960s: An Introduction,3.0,GA;GH;US,True
AMST 151,Technology and Society in American History,3.0,GH;GS;US,True
AMST 155,American Business History,3.0,GH;US,True
AMST 160,Introduction to Asian American Studies,3.0,GH;GS;US,True
AMST 161,The Battle of Gettysburg in American Historical Memory,3.0,GH;GS;US,True
AMST 170,Introduction to American Folklore,3.0,GH;GS;US,True
AMST 183,"The Cold War in Literature, Politics, and History",3.0,GH;GS;IL,True
AMST 199,Foreign Studies 1-/Maximum of 12,12.0,IL,False
AMST 226,Critical Approaches to Hip-Hop,3.0,GA;GH,True
AMST 299,Foreign Studies 1-/Maximum of 12,12.0,IL,False
AMST 3,The American Nation: Historical Perspectives,3.0,GH;US,True
AMST 307,American Art and Society,3.0,GA;GH;US,True
AMST 308,American Architecture,3.0,GA;GH;US,True
AMST 309,American Material Culture,3.0,GA;GH;IL,True
AMST 399,Foreign Studies 1-/Maximum of 12,12.0,IL,False
AMST 441,History of Sport in American Society,3.0,US,False
AMST 447,Recent American History /Maximum of 3,3.0,US,False
AMST 475,Black American Writers /Maximum of 6,3.0,US,False
AMST 499,Foreign Studies 1-/Maximum of 12,12.0,IL,False
ANSC 100,Introduction to Animal Industries,3.0,GN,False
ANSC 107,Introduction to Equine Science and the Equine Industry,3.0,GN,False
ANSC 215,Pets in Society,3.0,GS,False
ANSC 299,Foreign Studies 1-/Maximum of 12,12.0,IL,False
ANSC 332,Science and policy of global greenhouse gas emissions and management,3.0,GN;GS,True
ANSC 399,Foreign Studies 1-/Maximum of 12,12.0,IL,False
ANSC 447,Equine Exercise Physiology,3.0,GN,False
ANSC 499,Foreign Studies 1-/Maximum of 12,12.0,IL,False
ANTH 1,Understanding Humans,3.0,GS;IL,True
ANTH 100,Anthropology of Race and Racism,3.0,GN;GS;IL;US,True
ANTH 109,Museums: Contexts and Controversies,3.0,GH;IL,True
ANTH 11,North American Archaeology,3.0,GS;IL;US,True
ANTH 120,First Farmers,3.0,GS;IL,True
ANTH 129,Chocolate Worlds,3.0,GH;GN,True
ANTH 140,Anthropology of Alcohol,3.0,GS;IL;US,True
ANTH 146,Indigenous North America,3.0,GS;IL;US,True
ANTH 150,Human Nature: The Science of Extreme Altruism and Violence,3.0,GN;GS,True
ANTH 150Q,Human Nature: The Science of Extreme Altruism and Violence,3.0,GN;GS,True
ANTH 199,Foreign Studies 1-/Maximum of 12,12.0,IL,False
ANTH 2,World Archaeology,3.0,GH;GS;IL,True
ANTH 21,Introductory Biological Anthropology,3.0,GN,False
ANTH 210,"Anthropology, Ancestry, and You",3.0,GN;GS,True
ANTH 216,Sex and Evolution,3.0,GN;GS,True
ANTH 219,Spillover: The Anthropology of Emerging Infectious Diseases,3.0,GN;GS,True
ANTH 22,Humans as Primates,3.0,GN,False
ANTH 220,Anthropology and Art/ifacts,3.0,IL,False
ANTH 221,Ancient Maya: Sacred Blood & Conjured Serpent,3.0,GH;GS;IL,True
ANTH 222,Archaeology of Domesticated Animals,3.0,GN;GS;IL,True
ANTH 240,Livelihoods and Ecosystems: Anthropological Approaches to Human-Environment Interaction,3.0,GN;GS,True
ANTH 299,Foreign Studies 1-/Maximum of 12,12.0,IL,False
ANTH 303,Race and Gender in the Americas: Latin American and Caribbean Cultures,3.0,IL,False
ANTH 399,Foreign Studies 1-/Maximum of 12,12.0,IL,False
ANTH 40Q,Biocultural Evolution,3.0,GN;GS,True
ANTH 430,Ancient Brews,3.0,GS;IL;US,True
ANTH 434,Black Ecologies,3.0,GH;GS;IL;US,True
ANTH 435,Ancient Economy,3.0,IL,False
ANTH 45,Cultural Diversity: A Global Perspective,3.0,GH;GS;IL;US,True
ANTH 457,"Jewish Communities: Identity, Survival, and Transformation in Unexpected Places",3.0,IL;US,True
ANTH 45Q,Cultural Diversity: A Global Perspective,3.0,GH;GS;IL;US,True
ANTH 479,"Tradition, Modernity, and Cultural Change in South Asian Societies",3.0,GH;IL,True
ANTH 499,Foreign Studies 1-/Maximum of 12,12.0,IL,False
ANTH 60,Society and Cultures in Modern Israel,3.0,GH;GS;IL,True
ANTH 8,"Aztec, Inca, Maya",3.0,GS;IL,True
ANTH 83S,First-Year Seminar in Anthropology,3.0,GS,False
ANTH 9,Rise of Civilization in the Old World,3.0,GH;GS;IL,True
APLNG 200,"Introduction to Language, Culture, and Social Interaction",3.0,GH;IL,True
APLNG 210,Global English,3.0,GH;IL,True
APLNG 220,Multilingual Lives: Stories of Language and Culture Learning,3.0,GH;GS;IL,True
APLNG 230,Language and Social Justice,3.0,GH;GS;IL,True
APLNG 240,Arcade Speak: The Language of Video Games,3.0,GH,False
APLNG 260,Language and Technology,3.0,GH;GS,True
APLNG 269,Global Engagement Seminar,1.0,IL,False
APLNG 280,Conducting International Comparative Research,3.0,GH;GS;IL,True
APLNG 290,Critical Approaches to Applied Linguistics,3.0,GH;GS,True
APLNG 310,"Language Rights, Policy, and Planning",3.0,IL,False
APLNG 320,"Language, Ideology, and Propaganda",3.0,GH;GS,True
APLNG 402,"Language, Culture and Cognition in East Asian Context",3.0,IL,False
APLNG 482Y,Introduction to Applied Linguistics,3.0,IL,False
APLNG 493,Teaching English as a Second Language,3.0,IL,False
APLNG 83,First-Year Seminar in Applied Linguistics: Language as Social Practice,3.0,GS;IL;US,True
ARAB 110,"Arab Language, Cultures, and Current Topics",3.0,GH;IL,True
ARAB 164,Introduction to the Qur'an,3.0,GH;IL,True
ARAB 165,"Islamic States, Societies and Cultures c. 600-1500",3.0,GH;IL,True
ARAB 199,Foreign Studies 1-/Maximum of 12,12.0,IL,False
ARAB 299,Foreign Studies 1-/Maximum of 12,12.0,IL,False
ARAB 399,Foreign Studies 1-/Maximum of 12,12.0,IL,False
ARAB 401,Advanced Language & Cultures I,3.0,IL,False
ARAB 402,Advanced Language & Cultures II,3.0,IL,False
ARAB 499,Foreign Studies 1-/Maximum of 12,12.0,IL,False
ARAB 99,Foreign Studies 1-/Maximum of 12,12.0,IL,False
ARCH 100,Architecture and Ideas,3.0,GA,False
ARCH 170,Introduction to Sustainable Architecture,3.0,GA;GN,True
ARCH 199,Foreign Studies--Architecture 1-/Maximum of 15,15.0,IL,False
ARCH 210,Ideas Across Time in Architecture and Urbanism,3.0,GA,False
ARCH 299,Foreign Studies--Architecture 1-/Maximum of 15,15.0,IL,False
ARCH 316,Analysis of Human Settlements: Cities,3.0,GA;IL;US,True
ARCH 399,Foreign Studies 1-/Maximum of 12,12.0,IL,False
ARCH 499,Foreign Studies 1-/Maximum of 12,12.0,IL,False
ARCH 499A,Rome Study-Architectural Design /Maximum of 12,6.0,IL,False
ARCH 499B,Architectural Analysis /Maximum of 12,3.0,IL,False
ARCH 499C,Urban Studies /Maximum of 12,3.0,IL,False
ARCH 499F,Architectural Design Foreign Study 3-/Maximum of 12,6.0,IL,False
ARCH 99,Foreign Studies--Architecture 1-/Maximum of 15,15.0,IL,False
ART 1,Introduction to the Visual Arts,3.0,GA,False
ART 10,Introduction to Visual Studies,3.0,GA,False
ART 102,Beginning Computer Aided Design for Artists,3.0,GA,False
ART 116,Art of Mathematics,3.0,GA;GQ,True
ART 122Y,Commentary on Art,3.0,US,False
ART 133,Introduction to Traditional Wooden Boatbuilding,3.0,GA,False
ART 144,"Climate Change: Arts, Agency and Activism",3.0,GA,False
ART 160,"STEAM: Connecting Art to Science, Technology, Engineering and Mathematics",3.0,GA;GN,True
ART 165,Artistic Concepts of Space,3.0,GA,False
ART 166,Artistic Concepts of Form,3.0,GA,False
ART 168,The Digital Medium,3.0,GA,False
ART 17,Introduction to Metal Arts,3.0,GA,False
ART 170,Plant and Microbial Art,3.0,GA;GN,True
ART 175,Intersections Between Art and Psychology,3.0,GA;GS,True
ART 197G,Special Topics - GenEd 1-/Maximum of 9,9.0,GA,False
ART 199,Foreign Studies--Art 1-/Maximum of 12,12.0,IL,False
ART 2,Interactive Learning and Web-Design,3.0,GA,False
ART 20,Introduction to Drawing,3.0,GA,False
ART 207,"LGBTQ+ Identity, Culture and The Arts",3.0,GA;GS;IL;US,True
ART 211,Introduction to Digital Art and Design Criticism /Maximum of 3,3.0,US,False
ART 211Y,Introduction to Digital Art and Design Criticism,3.0,US,False
ART 299,Foreign Study--Art 1-/Maximum of 12,12.0,IL,False
ART 3,Visual Images on the Web,3.0,GA,False
ART 30,Introduction to Sculpture,3.0,GA,False
ART 399,Foreign Study--Art 1-/Maximum of 12,12.0,IL,False
ART 40,Introduction to Printmaking,3.0,GA,False
ART 411,Seminar in Contemporary Art /Maximum of 6,3.0,US,False
ART 499,Foreign Studies--Art 1-/Maximum of 12,12.0,IL,False
ART 50,Introduction to Painting,3.0,GA,False
ART 51,Meteorology and Visual Arts: To Know is to See,3.0,GA;GN,True
ART 80,Introduction to Ceramics,3.0,GA,False
ARTH 100,Introduction to Art,3.0,GA;IL,True
ARTH 101,Introduction to Global Art History,3.0,GA;GH,True
ARTH 104,Art and Agriculture,3.0,GA;GN;IL,True
ARTH 105,Pictures and Power,3.0,GA;GS,True
ARTH 107,"Rocks, Minerals, and the History of Art",3.0,GA;GN,True
ARTH 109,Museums: Contexts and Controversies,3.0,GH;IL,True
ARTH 111,Ancient to Medieval Art,3.0,GA;IL,True
ARTH 111U,Ancient to Medieval Art,3.0,GA;IL,True
ARTH 112,Renaissance to Modern Art,3.0,GA;IL,True
ARTH 112U,Renaissance to Modern Art,3.0,GA;IL,True
ARTH 115,Arts of Love,3.0,GA;GH,True
ARTH 120,Asian Art and Architecture,3.0,GA;IL,True
ARTH 125,Islamic Architecture and Art,3.0,GA;IL,True
ARTH 130,"Art of Africa, Oceania, and the Americas",3.0,GA;IL;US,True
ARTH 140,"Introduction to the Art and Architecture of the Mayas, Aztecs, and Incas",3.0,GA;IL,True
ARTH 199,Foreign Study--Art History 1-/Maximum of 12,12.0,IL,False
ARTH 1S,First-Year Seminar in Art History,3.0,GA,False
ARTH 201,Ancient to Medieval Architecture,3.0,GA;IL,True
ARTH 202,Renaissance to Modern Architecture,3.0,GA;GH;IL,True
ARTH 204,The Art of Marvel: Italy and Spain 1600 - 1750,3.0,GA;IL,True
ARTH 207,The Eternal City: Rome from Antiquity to the Present,3.0,GA;IL,True
ARTH 215,Architecture and Art of South and Southeast Asia,3.0,GA;IL,True
ARTH 218,Land and : Modern Art and the Environment,3.0,GA;GH,True
ARTH 220,Chinese Art,3.0,GA;IL,True
ARTH 222,Intersections between Art History and the History of Psychology,3.0,GA;GS;IL,True
ARTH 222Q,Intersections between Art History and the History of Psychology,3.0,GA;GS;IL,True
ARTH 224,Authors and Artists,3.0,GA;GH,True
ARTH 225,Sexuality and Modern Visual Culture,3.0,GA;GH,True
ARTH 270,Artificial Intelligence and Art History,3.0,GA,False
ARTH 280,The Secret Lives of Things: Design and Decorative Arts since the 18th Century,3.0,GA;IL,True
ARTH 292,Witches and Witchcraft from the Middle Ages to the Present,3.0,GA;GH;IL;US,True
ARTH 299,Foreign Study--Art History 1-/Maximum of 12,12.0,IL,False
ARTH 301,Egyptian and Mesopotamian Art,3.0,GA;IL,True
ARTH 302,Early Medieval Art,3.0,GA;IL,True
ARTH 303,Italian Renaissance Art,3.0,GA;IL,True
ARTH 305,Romanticism and Revolution,3.0,GA;IL,True
ARTH 306,"Color across Cultures: A Global History of Pigments, Dyes, Metals and Other Colorants in Art",3.0,GA;IL,True
ARTH 307,American Art and Society,3.0,GA;GH;US,True
ARTH 308,American Architecture,3.0,GA;GH;US,True
ARTH 311,Greek and Roman Art,3.0,GA;IL,True
ARTH 312,Romanesque and Gothic Art,3.0,GA;IL,True
ARTH 314,Art in the Age of Rembrandt,3.0,IL,False
ARTH 325,Impressionism to Surrealism,3.0,GA;IL,True
ARTH 326,Art Since 1940,3.0,GA;IL;US,True
ARTH 335,African Art,3.0,GA;IL,True
ARTH 399,Foreign Study--Art History 1-/Maximum of 12,12.0,IL,False
ARTH 401,Greek Art and Architecture 3-/Maximum of 9,9.0,IL,False
ARTH 402,The Illuminated Manuscript,3.0,IL,False
ARTH 405,Pioneers of Modern Architecture /Maximum of 6,3.0,IL;US,True
ARTH 411,Roman Art,3.0,IL,False
ARTH 412,The Gothic Cathedral,3.0,IL,False
ARTH 415,The Skyscraper,3.0,US,False
ARTH 416,Studies in American Art /Maximum of 6,3.0,US,False
ARTH 418,The Real Rebels: Postwar Avant-Garde Art of Asia,3.0,IL,False
ARTH 420,Russian Architecture,3.0,IL,False
ARTH 422,Studies in Medieval Sculpture /Maximum of 9,3.0,IL,False
ARTH 423,Studies in Italian Renaissance Art /Maximum of 9,3.0,IL,False
ARTH 426,Iconoclasm: Powerful Images and their Destruction,3.0,IL;US,True
ARTH 427,Topics in Global Artistic Communication /Maximum of 6,3.0,IL,False
ARTH 429,Studies in Baroque Art,3.0,IL,False
ARTH 435,Studies in Modern Art /Maximum of 6,3.0,IL,False
ARTH 44,Myth in Egypt and the Near East,3.0,GA;GH;IL,True
ARTH 440,Monuments of Asia 3-/Maximum of 9,9.0,IL,False
ARTH 442,Late Antique and Early Christian Art,3.0,IL,False
ARTH 446,Topics in African Art /Maximum of 9,3.0,IL,False
ARTH 447,Topics in the Art of the African Diaspora /Maximum of 6,3.0,IL,False
ARTH 450,The History of Photography,3.0,IL;US,True
ARTH 452,Byzantine Art,3.0,IL,False
ARTH 456,Renaissance and Baroque Palaces,3.0,IL,False
ARTH 458,The City 1600-1800,3.0,IL,False
ARTH 460,"Art and Empire: Aztec, Inca and Spanish",3.0,IL,False
ARTH 462,Studies in Latin American Art /Maximum of 6,3.0,IL,False
ARTH 475,Contemporary Women Artists,3.0,US,False
ARTH 499,Foreign Study--Art History 1-/Maximum of 12,12.0,IL,False
ASIA 100,What is Asia?,3.0,GH;IL,True
ASIA 101,Sports in Asia,3.0,GH;GS;IL,True
ASIA 102,Asian Popular Culture,3.0,GH;IL,True
ASIA 103,Introduction to Hinduism,3.0,GH;IL,True
ASIA 104,Introduction to Buddhism,3.0,GH;IL;US,True
ASIA 105,War and Memory in Asia: Twentieth Century and beyond,3.0,GH;IL,True
ASIA 106,"Asian Traditions of Health, Medicine, and the Body",3.0,GH;GHW;IL,True
ASIA 107,Bollywood: Seeing South Asia Through Cinema,3.0,GA;GH;IL,True
ASIA 109,What is The Self?,3.0,GH;IL,True
ASIA 115,Korean Language and Culture: A Linguistic and Social Perspective,3.0,GH;IL,True
ASIA 120Y,South Asia: A Literary History,3.0,GH;IL,True
ASIA 124,North Korean History,3.0,GH;IL,True
ASIA 150,Environment and Society in South Asia,3.0,GS;IL,True
ASIA 172,Introduction to Japanese Civilization,3.0,GH;IL,True
ASIA 174,East Asia to 1800,3.0,GH;IL,True
ASIA 175,East Asia since 1800,3.0,GH;IL,True
ASIA 176,Survey of Indian History,3.0,GH;IL,True
ASIA 177,Rise of Modern Southeast Asia,3.0,GH;IL,True
ASIA 181,Introduction to the Religions of China and Japan,3.0,GH;IL,True
ASIA 182,"Asian Trade: Economy, Industrialization and Capitalism in Asia",3.0,GH;IL,True
ASIA 183,"Gender, Family, and Society in East Asia",3.0,GH;IL,True
ASIA 186,The Silk Roads,3.0,GH;IL,True
ASIA 187,Global Taiwan /Maximum of 3,3.0,IL,False
ASIA 188,"Tibet: People, Places and Spaces",3.0,GH;IL,True
ASIA 199,Foreign Studies 1-/Maximum of 12,12.0,IL,False
ASIA 200,What Are Asian Languages?,3.0,GH;IL,True
ASIA 215,Architecture and Art of South and Southeast Asia,3.0,GA;IL,True
ASIA 299,Foreign Studies 1-/Maximum of 12,12.0,IL,False
ASIA 3,Introduction to the Religions of the East,3.0,GH;IL,True
ASIA 399,Foreign Studies 1-/Maximum of 12,12.0,IL,False
ASIA 4,Introduction to Asian Literatures,3.0,GH;IL,True
ASIA 400,International Culture in East Asia,3.0,IL,False
ASIA 401,Technology & Society in Modern Asia,3.0,IL,False
ASIA 402,"Language, Culture and Cognition in East Asian Context",3.0,IL,False
ASIA 403,Food Cultures of Asia,3.0,IL,False
ASIA 404Y,Topics in Asian Literature,3.0,IL,False
ASIA 405Y,Seminar in Asian Studies /Maximum of 6,3.0,IL,False
ASIA 414,"Chinese Language, Culture and Society /Maximum of 3",3.0,IL,False
ASIA 415,China Beyond China,3.0,IL,False
ASIA 416,Gender and Sexuality in China,3.0,IL,False
ASIA 417,"The Warrior, the Courtesan and the Ghost in Classical Chinese Novels",3.0,IL,False
ASIA 418,Confucius and the Great Books of China,3.0,IL,False
ASIA 419,The Chinese Rhetorical Tradition /Maximum of 6,3.0,IL,False
ASIA 420,The Real Rebels: Postwar Avant-Garde Art of Asia,3.0,IL,False
ASIA 424,Transnational Korean Literature,3.0,IL,False
ASIA 425,Global Korean Cinema,3.0,IL,False
ASIA 426,Korean History through Film,3.0,IL,False
ASIA 428,Asian American Literatures /Maximum of 6,3.0,US,False
ASIA 430,Japan in the World,3.0,IL,False
ASIA 431,Courtly Japan,3.0,IL,False
ASIA 432,War and the Warrior in Japan,3.0,IL,False
ASIA 434,Beyond Anime,3.0,IL,False
ASIA 440,Monuments of Asia 3-/Maximum of 9,9.0,IL,False
ASIA 457,Hiroshima & the Holocaust in History and Memory,3.0,IL,False
ASIA 460Y,Research Seminar in History of Asian Religion & Medicine /Maximum of 9,3.0,IL,False
ASIA 465Y,Democratization in Asia,3.0,IL,False
ASIA 469,Government and Politics of South Asia,3.0,IL,False
